FELONY DANGEROUS DRUGS	38088.0	30743.0	29692.0	24076.0	25824.0	27391.0	29516.0	31459.0	28936.0	26025.0	22913.0	21305.0
FELONY DANGEROUS DRUGS	38088.0	30743.0	29692.0	24076.0	25824.0	27391.0	29516.0	31459.0	28936.0	26025.0	22913.0	21305.0
FELONY DANGEROUS DRUGS	38088.0	30743.0	29692.0	24076.0	25824.0	27391.0	29516.0	31459.0	28936.0	26025.0	22913.0	21305.0
FELONY DANGEROUS WEAPONS	2958.0	3030.0	2804.0	2511.0	2987.0	3748.0	4315.0	5004.0	5263.0	5952.0	5413.0	5037.0
FELONY DANGEROUS WEAPONS	2958.0	3030.0	2804.0	2511.0	2987.0	3748.0	4315.0	5004.0	5263.0	5952.0	5413.0	5037.0
FELONY DANGEROUS WEAPONS	2958.0	3030.0	2804.0	2511.0	2987.0	3748.0	4315.0	5004.0	5263.0	5952.0	5413.0	5037.0
FELONY DANGEROUS WEAPONS	2958.0	3030.0	2804.0	2511.0	2987.0	3748.0	4315.0	5004.0	5263.0	5952.0	5413.0	5037.0
FEL. CRIMINAL MISCHIEF & RELATED OFFENSES	12934.0	16026.0	13291.0	8400.0	8074.0	7776.0	7605.0	7090.0	7003.0	6397.0	6006.0	6374.0
FEL. CRIMINAL MISCHIEF & RELATED OFFENSES	12934.0	16026.0	13291.0	8400.0	8074.0	7776.0	7605.0	7090.0	7003.0	6397.0	6006.0	6374.0
FEL. CRIMINAL MISCHIEF & RELATED OFFENSES	12934.0	16026.0	13291.0	8400.0	8074.0	7776.0	7605.0	7090.0	7003.0	6397.0	6006.0	6374.0
FEL. CRIMINAL MISCHIEF & RELATED OFFENSES	12934.0	16026.0	13291.0	8400.0	8074.0	7776.0	7605.0	7090.0	7003.0	6397.0	6006.0	6374.0
OTHER FELONIES	13945.0	13059.0	13956.0	13786.0	12454.0	11800.0	11063.0	11699.0	11719.0	11950.0	11616.0	11533.0
OTHER FELONIES	13945.0	13059.0	13956.0	13786.0	12454.0	11800.0	11063.0	11699.0	11719.0	11950.0	11616.0	11533.0
OTHER FELONIES	13945.0	13059.0	13956.0	13786.0	12454.0	11800.0	11063.0	11699.0	11719.0	11950.0	11616.0	11533.0
OTHER FELONIES	13945.0	13059.0	13956.0	13786.0	12454.0	11800.0	11063.0	11699.0	11719.0	11950.0	11616.0	11533.0
HARASSMENT	105534.0	107408.0	93749.0	83805.0	79271.0	73917.0	68862.0	65316.0	61159.0	58600.0	57376.0	54216.0
HARASSMENT	105534.0	107408.0	93749.0	83805.0	79271.0	73917.0	68862.0	65316.0	61159.0	58600.0	57376.0	54216.0
HARASSMENT	105534.0	107408.0	93749.0	83805.0	79271.0	73917.0	68862.0	65316.0	61159.0	58600.0	57376.0	54216.0
HARASSMENT	105534.0	107408.0	93749.0	83805.0	79271.0	73917.0	68862.0	65316.0	61159.0	58600.0	57376.0	54216.0
OTHER VIOLATIONS(1)	3614.0	3593.0	3510.0	4187.0	4299.0	4126.0	4741.0	4501.0	4371.0	5094.0	4291.0	4582.0
OTHER VIOLATIONS(1)	3614.0	3593.0	3510.0	4187.0	4299.0	4126.0	4741.0	4501.0	4371.0	5094.0	4291.0	4582.0
OTHER VIOLATIONS(1)	3614.0	3593.0	3510.0	4187.0	4299.0	4126.0	4741.0	4501.0	4371.0	5094.0	4291.0	4582.0
OTHER VIOLATIONS(1)	3614.0	3593.0	3510.0	4187.0	4299.0	4126.0	4741.0	4501.0	4371.0	5094.0	4291.0	4582.0
